ngram_n,type,signs,raw_count,weighted
3,slot,INITIAL-TERMINAL-AMBIGUOUS,7,4.5
3,slot,MEDIAL-MEDIAL-MEDIAL,18,3.9194
3,slot,TERMINAL-TERMINAL-TERMINAL,10,3.7714
3,slot,TERMINAL-MEDIAL-AMBIGUOUS,14,3.5667
3,slot,INITIAL-INITIAL-AMBIGUOUS,6,3.5
3,slot,TERMINAL-AMBIGUOUS-TERMINAL,9,3.325
3,slot,MEDIAL-MEDIAL-TERMINAL,8,2.9167
3,slot,AMBIGUOUS-MEDIAL-INITIAL,8,2.9167
3,slot,INITIAL-MEDIAL-TERMINAL,4,2.4167
3,slot,AMBIGUOUS-TERMINAL-MEDIAL,10,2.3167
3,slot,INITIAL-MEDIAL-INITIAL,5,1.8667
3,slot,MEDIAL-AMBIGUOUS-INITIAL,8,1.8512
3,slot,MEDIAL-TERMINAL-AMBIGUOUS,8,1.6762
3,slot,AMBIGUOUS-INITIAL-TERMINAL,5,1.6667
3,slot,MEDIAL-INITIAL-AMBIGUOUS,5,1.45
3,slot,TERMINAL-INITIAL-MEDIAL,5,1.4318
3,slot,TERMINAL-AMBIGUOUS-MEDIAL,6,1.2833
3,slot,TERMINAL-TERMINAL-INITIAL,3,1.25
3,slot,AMBIGUOUS-INITIAL-INITIAL,4,1.119
3,slot,MEDIAL-INITIAL-MEDIAL,4,1.0833
3,slot,MEDIAL-INITIAL-TERMINAL,2,1.0
3,slot,INITIAL-AMBIGUOUS-INITIAL,3,0.8095
3,slot,TERMINAL-AMBIGUOUS-INITIAL,3,0.5278
3,slot,TERMINAL-TERMINAL-AMBIGUOUS,3,0.4524
3,slot,MEDIAL-TERMINAL-MEDIAL,1,0.3333
3,slot,TERMINAL-MEDIAL-TERMINAL,1,0.3333
3,slot,INITIAL-TERMINAL-TERMINAL,1,0.3333
3,slot,AMBIGUOUS-TERMINAL-INITIAL,2,0.1818
