sign_a,sign_b,pmi_score,co_occurrence_count
348,387,2.326495,3
326,389,2.313609,7
135,387,2.308573,4
98,121,2.301639,6
125,391,2.29173,4
169,389,2.278844,41
97,186,2.27296,3
17,60,2.271266,3
98,319,2.271266,3
60,98,2.271266,3
70,327,2.270419,3
176,258,2.269855,9
296,336,2.266195,11
113,343,2.261142,4
53,171,2.255048,19
112,327,2.244424,3
123,250,2.242763,3
97,341,2.241933,6
287,389,2.22872,14
59,395,2.226256,3
59,160,2.226256,3
59,71,2.226256,3
59,209,2.226256,6
70,178,2.224616,3
293,343,2.221613,27
242,402,2.221341,3
48,190,2.221341,5
124,389,2.208256,14
169,182,2.206694,13
65,224,2.204873,4
176,388,2.187393,4
73,176,2.187393,4
130,249,2.180023,12
59,109,2.17895,15
96,171,2.177046,3
97,245,2.173424,14
99,172,2.170376,7
97,173,2.167165,4
41,245,2.160485,3
127,373,2.154226,3
99,210,2.151517,19
65,135,2.150426,8
87,403,2.147397,39
302,343,2.145664,3
62,267,2.144888,5
17,180,2.141983,4
53,70,2.137153,9
244,252,2.135611,4
67,388,2.135611,3
102,287,2.121805,15
67,135,2.117689,10
123,190,2.117232,5
99,395,2.099987,5
70,180,2.095333,3
89,328,2.093799,126
169,249,2.085942,42
70,194,2.085064,4
149,293,2.079109,13
60,87,2.076313,11
99,267,2.06989,253
51,186,2.056149,3
28,162,2.045184,11
100,162,2.03947,6
173,403,2.036769,4
67,348,2.036075,7
28,244,2.028695,4
242,391,2.028695,5
70,211,2.026676,17
336,407,2.025187,11
123,344,2.017696,7
261,343,2.013214,4
51,293,2.007687,14
86,210,2.007385,4
123,302,2.001755,3
72,387,1.998505,19
51,319,1.994748,3
72,224,1.992653,3
17,252,1.985864,4
169,373,1.984301,12
134,391,1.983608,3
149,244,1.98044,7
162,400,1.978069,3
7,176,1.965001,3
102,137,1.95188,4
81,123,1.947307,4
106,169,1.943659,10
171,409,1.94258,3
65,407,1.941839,10
169,194,1.937507,13
375,387,1.934178,4
150,244,1.92916,4
176,193,1.897887,9
222,267,1.896961,8
149,171,1.89105,11
149,389,1.887683,12
