sign_a,sign_b,pmi_score,co_occurrence_count
99,409,0.041093,4
51,347,0.040552,3
72,402,0.037741,5
17,176,0.037646,8
1,245,0.036364,4
389,391,0.036075,7
65,127,0.030844,3
59,70,0.029859,6
17,342,0.028245,31
67,197,0.027086,4
48,70,0.024943,3
51,99,0.024219,17
100,342,0.022162,10
186,342,0.022162,10
98,99,0.020629,14
211,389,0.020133,9
182,211,0.020133,3
65,97,0.017788,5
176,403,0.017468,9
87,387,0.014217,9
48,97,0.011887,4
12,391,0.011622,4
86,204,0.007385,3
127,267,0.007385,5
67,375,0.006328,3
15,287,0.006328,3
53,89,0.004426,10
125,342,0.001404,6
329,342,0.001404,3
174,342,0.001404,3
342,398,0.001404,3
99,106,0.000451,7
