from_sign,to_sign,count,P(to|from)
389,407,10,0.084034
98,347,5,0.083333
345,98,3,0.081081
162,162,8,0.079208
211,97,3,0.078947
28,169,3,0.078947
391,97,12,0.076923
294,375,3,0.076923
373,8,3,0.076923
373,342,3,0.076923
403,347,6,0.075949
216,245,5,0.075758
387,67,6,0.073171
230,211,3,0.073171
230,99,3,0.073171
387,65,6,0.073171
70,72,4,0.072727
65,59,13,0.071823
343,67,10,0.070922
123,65,11,0.070513
328,162,3,0.069767
328,391,3,0.069767
336,321,13,0.069519
249,65,9,0.069231
86,99,8,0.068966
287,402,5,0.068493
197,336,3,0.068182
197,252,3,0.068182
197,86,3,0.068182
97,104,5,0.065789
99,87,34,0.065385
194,327,3,0.065217
104,59,4,0.064516
123,67,10,0.064103
343,87,9,0.06383
343,249,9,0.06383
307,86,3,0.06383
72,48,10,0.062893
99,65,32,0.061538
387,53,5,0.060976
86,328,7,0.060345
162,402,6,0.059406
53,72,6,0.058824
72,342,9,0.056604
287,87,4,0.054795
70,112,3,0.054545
70,327,3,0.054545
249,336,7,0.053846
149,89,3,0.053571
112,162,3,0.053571
97,252,4,0.052632
402,87,3,0.051724
402,98,3,0.051724
86,336,6,0.051724
391,391,8,0.051282
72,216,8,0.050314
99,387,26,0.05
98,25,3,0.05
98,319,3,0.05
98,174,3,0.05
98,67,3,0.05
343,98,7,0.049645
343,65,7,0.049645
162,12,5,0.049505
104,149,3,0.048387
51,155,4,0.048193
102,17,6,0.048
102,169,6,0.048
102,25,6,0.048
244,17,3,0.046154
244,28,3,0.046154
99,102,24,0.046154
204,110,3,0.046154
244,336,3,0.046154
244,58,3,0.046154
244,343,3,0.046154
216,342,3,0.045455
123,344,7,0.044872
123,86,7,0.044872
391,87,7,0.044872
342,98,17,0.044619
17,407,3,0.043478
17,342,3,0.043478
17,261,3,0.043478
17,81,3,0.043478
336,51,8,0.042781
343,102,6,0.042553
89,407,11,0.042471
124,409,3,0.042254
389,342,5,0.042017
389,67,5,0.042017
59,99,11,0.041199
59,182,11,0.041199
287,102,3,0.041096
287,136,3,0.041096
287,99,3,0.041096
162,100,4,0.039604
162,176,4,0.039604
97,86,3,0.039474
97,389,3,0.039474
97,173,3,0.039474
97,102,3,0.039474
53,87,4,0.039216
53,48,4,0.039216
67,135,9,0.038627
89,296,10,0.03861
123,87,6,0.038462
123,102,6,0.038462
249,307,5,0.038462
403,99,3,0.037975
72,326,6,0.037736
87,60,11,0.037543
59,48,10,0.037453
59,336,10,0.037453
336,209,7,0.037433
387,87,3,0.036585
387,336,3,0.036585
387,171,3,0.036585
267,342,11,0.036424
51,59,3,0.036145
51,89,3,0.036145
245,307,5,0.035971
343,72,5,0.035461
343,387,5,0.035461
293,293,4,0.035398
293,99,4,0.035398
8,391,3,0.035294
86,67,4,0.034483
86,124,4,0.034483
67,8,8,0.034335
59,67,9,0.033708
389,87,4,0.033613
389,70,4,0.033613
65,342,6,0.033149
65,222,6,0.033149
99,104,17,0.032692
99,72,17,0.032692
123,70,5,0.032051
123,72,5,0.032051
123,149,5,0.032051
391,252,5,0.032051
102,216,4,0.032
72,182,5,0.031447
99,389,16,0.030769
87,169,9,0.030717
87,284,9,0.030717
67,336,7,0.030043
67,70,7,0.030043
67,348,7,0.030043
162,375,3,0.029703
162,267,3,0.029703
162,242,3,0.029703
53,99,3,0.029412
99,70,15,0.028846
343,86,4,0.028369
343,48,4,0.028369
343,113,4,0.028369
65,135,5,0.027624
65,211,5,0.027624
48,193,4,0.027397
48,15,4,0.027397
87,155,8,0.027304
87,249,8,0.027304
89,87,7,0.027027
99,48,14,0.026923
99,53,14,0.026923
293,211,3,0.026549
342,139,10,0.026247
59,127,7,0.026217
86,175,3,0.025862
86,59,3,0.025862
86,210,3,0.025862
86,250,3,0.025862
86,211,3,0.025862
86,325,3,0.025862
67,171,6,0.025751
67,407,6,0.025751
